view_info,allsop_address,lot_num
every Monday and Wednesday before the Auction between 9.00 - 9.30 a.m. (Ref: MW).,,45
Please call the Joint Auctioneer.,,44A
Please call the Joint Auctioneer.,,44B
every Tuesday and Saturday before the Auction between 4.45 - 5.15 p.m. (Ref: UD).,,43
every Tuesday and Thursday before the Auction between 10.00 - 10.30 a.m. (Ref: MW).,,42
every Thursday between 1.00 - 1.30 p.m. and Saturday between 1.30 - 2.00 p.m. before the Auction. (Ref: UD).,,41
every Monday between 11.00 a.m. - 12.00 noon. and Wednesday between 1.00 - 2.00 p.m. before the Auction. (Ref: TW/OG).,,40
every Monday and Friday before the Auction between 3.00 - 3.30 p.m. (Ref: UD).,,39
every Monday and Thursday before the Auction between 4.00 - 4.30 p.m. (Ref: UD).,,38
every Wednesday between 12.15 - 12.45 p.m. and Saturday between 11.00 - 11.30 a.m. before the Auction. (Ref: UD).,,37
No Viewings,,36
No Viewings,,35
No Viewings,,34
every Monday and Wednesday before the Auction between 12.30 - 1.00 p.m. (Ref: MW).,,90
every Thursday and Saturday before the Auction between 12.30 - 1.00 p.m. (Ref: MW).,,278
every Thursday and Saturday before the Auction between 12.00 noon - 12.30 p.m. (Ref: MW).,,277
every Wednesday and Friday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,172
every Tuesday between 9.30 - 10.00 a.m. and Thursday between 11.45 a.m. - 12.15 p.m. before the Auction. (Ref: UD).,,189
every Tuesday and Saturday before the Auction between 11.45 a.m. - 12.15 p.m. (Ref: UD).,,188
Please Email: jimmy.bruce@allsop.co.uk using the subject heading 'Viewings Lot 187',,187
No Viewings,,186A
on Friday 13th March between 11.00 - 11.30 a.m.,,186
every Tuesday and Thursday before the Auction between 3.30 - 4.00 p.m. (Ref: MW).,,185
every Tuesday between 9.30 - 10.00 a.m. and Saturday between 12.15 - 12.45 p.m. before the Auction. (Ref: UD).,,184
No Viewings,,183
every Monday and Thursday before the Auction between 11.15 - 11.45 a.m. (Ref: UD).,,182
on Saturday 14th &amp; 21st March between 10.30 - 11.00 a.m. (Ref: UD).,,181
every Wednesday and Saturday before the Auction between 1.15 - 1.45 p.m. (Ref: UD).,,180
every Tuesday and Thursday before the Auction between 4.15 - 4.45 p.m. (Ref: MW).,,179
every Monday and Wednesday before the Auction between 12 noon - 12.30 p.m. (Ref: MW).,,178
By application to the site.,,177
No Viewings,,176
every Tuesday and Thursday before the Auction between 11.00 - 11.30 a.m. These are open viewing times with no need to register.,,175
No Viewings,,174
No Viewings,,173
Please email jimmy.bruce@allsop.co.uk,,171
No Viewings,,170
No Viewings,,169
No Viewings,,168
No Viewings,,167
every Monday and Wednesday before the Auction between 2.15 - 2.45 p.m. (Ref: MW).,,166
every Tuesday and Thursday before the Auction between 9.00 - 9.30 a.m. (Ref: MW).,,165
Please Email: NHSResiviewings@allsop.co.uk using the subject heading 'Viewings Lot 164',,164
on Friday 13th March between 9.00 - 9.45 a.m. (Ref: UD).,,163
every Tuesday and Thursday before the Auction between 10.30 - 11.00 a.m. (Ref: MW).,,162
There will be viewings for the vacant flats. every Monday and Wednesday before the Auction between 12.45 - 1.45 p.m. (Ref: MW). NB.The Lessees have NOT elected to take up their rights of pre-emption under the terms of the Landlord &amp; Tenant Act 1987.,,161
every Wednesday and Saturday before the Auction between 10.30 - 11.00 a.m. (Ref: UD).,,160
every Monday and Thursday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,159
every Monday and Wednesday before the Auction between 9.00 - 9.30 a.m. (Ref: MW).,,158
Please email: alice.carroll@allsop.co.uk using the subject heading 'Viewings Lot 157',,157
No Viewings,,156
every Tuesday and Friday before the Auction between 2.00 - 2.30 p.m. (Ref: MW).,,155
Please email will.taylor@allsop.co.uk using subject heading 'Lot 154 - Viewing'.,,154
every Monday and Wednesday before the Auction between 2.00 - 2.30 p.m. (Ref: MW).,,153
No Viewings,,152
No Viewings,,151
No Viewings,,150
No Viewings,,149
every Monday and Wednesday before the Auction between 9.45 - 10.15 a.m. (Ref: MW).,,148
Please call Allsop (Ref: PH).Tel: 020 7344 2646.,,147
No Viewings,,146
every Monday and Wednesday before the Auction between 3.30 - 4.00 p.m. (Ref: MW).,,145
every Monday between 5.15 - 6.15 p.m. and Saturday between 3.15 - 4.15 p.m. before the Auction. (Ref: UD).,,144
every Monday and Wednesday before the Auction between 12.45 - 1.15 p.m. (Ref: MW).,,143
every Thursday and Saturday before the Auction between 9.00 - 9.30 a.m. (Ref: MW).,,142
every Monday and Wednesday before the Auction between 12.15 - 12.45 p.m. (Ref: MW).,,141
Please call Joint Auctioneers.,,140
every Monday and Thursday before the Auction between 11.45 a.m. - 12.15 p.m. (Ref: UD).,,139
every Tuesday and Thursday before the Auction between 2.30 - 3.00 p.m. (Ref: MW).,,138
every Monday and Thursday before the Auction between 2.00 - 2.30 p.m. (Ref: UD).,,137
every Monday and Thursday before the Auction between 12.00 noon - 12.30 p.m. (Ref: UD).,,136
every Tuesday and Saturday before the Auction between 4.00 - 4.30 p.m. (Ref: UD).,,135
every Wednesday between 10.45 - 11.15 a.m. and Saturday between 9.30 - 10.00 a.m. before the Auction. (Ref: UD).,,134
on Monday 16th and 23rd March and Wednesday 18th and 25th March between 12 noon - 12.30 p.m. (Ref: JR).,,133
every Thursday and Saturday before the Auction from Thursday 19th March between 2.00 - 2.30 p.m. (Ref: MW).,,132
No Viewings,,131
No Viewings,,130
No Viewings,,129
every Monday and Wednesday before the Auction between 11.15 - 11.45 a.m. (Ref: MW).,,128
every Thursday and Saturday before the Auction between 9.30 - 10.00 a.m. (Ref: UD).,,127
No Viewings,,126
The vacant property will be open for viewing every Monday and Wednesday before the Auction between 3.45 - 4.15 p.m. (Ref: MW).,,125
The vacant property will be open for viewing every Monday and Wednesday before the Auction between 3.45 - 4.15 p.m. (Ref: MW).,,124
The vacant property will be open for viewing every Monday and Wednesday before the Auction between 3.45 - 4.15 p.m. (Ref: MW).,,123
Please Call the Joint Auctioneer.,,122
No Viewings,,121
on Monday 16th March between 9.30 - 10.00 a.m. and Thursday 19th March between 9.30 -10.00 a.m. Please be advised there will be no further opportunities to view.,,120
