LOT,Address,"TUES
17th","WED
18th","THURS
19th","FRI
20th","SAT
21st","MON
23rd","TUES
24th","WED
25th","THURS
26th","FRI
27th","SAT
28th","MON
30th"
1,"19A Birchington Road, Kilburn, London NW6 4LL",,10.30 a.m.,,,10.30 a.m.,,10.30 a.m.,,10.30 a.m.,,,10.30 a.m.
2,"41 Penderry Rise, Catford, London SE6 1EZ",,,1.15 p.m.,,,1.15 p.m.,,1.15 p.m.,,1.15 p.m.,1.15 p.m.,
3,"57 Francis Avenue, Ilford, Essex IG1 1TS",,4.45 p.m.,,,4.45 p.m.,,4.45 p.m.,,4.45 p.m.,,,4.45 p.m.
4,"98 Falloden Way, Hampstead Gardens, London NW11 6JD",,,,2.15 p.m.,,2.15 p.m.,,2.15 p.m.,,2.15 p.m.,2.15 p.m.,
5,"13 Millais Road, Leytonstone, London E11 4HB",,,3.30 p.m.,,,3.30 p.m.,,3.30 p.m.,,3.30 p.m.,3.30 p.m.,
6,"68 Longfield Avenue, Enfield, Middlesex EN3 5RT",,,9.45 a.m.,,,9.45 a.m.,,9.45 a.m.,,9.45 a.m.,9.45 a.m.,
7,"Flat 1, 106 Inverness Terrace, Bayswater, London W2 3LD",,,,1.30 p.m.,,1.30 p.m.,,1.30 p.m.,,1.30 p.m.,1.30 p.m.,
8,"87 Birkbeck Avenue, Greenford, Middlesex UB6 8LX",,,,,,9.45 a.m.,,9.45 a.m.,,9.45 a.m.,9.45 a.m.,
9,"10B Ambleside Avenue, Streatham, London SW16 6AD",,,,,11.00 a.m.,,11.00 a.m.,,11.00 a.m.,,,11.00 a.m.
10,"2 Chesney Court, Shirland Road, Maida Vale, London W9 2EG",,9.00 a.m.,,,9.00 a.m.,,9.00 a.m.,,9.00 a.m.,,,9.00 a.m.
11,"17 Merchiston Road, Catford, London SE6 1SH",,,12.45 p.m.,,,12.45 p.m.,,12.45 p.m.,,12.45 p.m.,12.45 p.m.,
