Lot Number,Image,Address,Town,Postcode,Description,Guide Price,Price,Auctioneer,Auction Date,Lease Details,Vendor
1,https://www.eigroup.co.uk/files/20/22986/bb4c339d-e155-45e0-912d-c1f7968e4f23.jpg,"135 Fairview Road, Cheltenham, Gloucestershire, GL52 2EX", Gloucestershire, GL52 2EX,Freehold House Two Floor 4 Room(s) Garden,"£190,000 Plus",190000,Countrywide Property Auctions,25 March 2015,,
2,https://www.eigroup.co.uk/files/20/22986/f04ca08e-cbd4-4681-8a55-e4c04bc19a30.jpg,"Frognal Farmhouse, Lower Road, Teynham, Sittingbourne, Kent, ME9 9BY", Kent, ME9 9BY,Freehold Former Care Home Three Floor 10 Bedroom Out Building,Refer,,Countrywide Property Auctions,25 March 2015,,The NHP Group
3,https://www.eigroup.co.uk/files/20/22986/b057d15d-0f6f-4e65-8c41-d13e8c5ffef5.jpg,"1 Eldan House, North Road, Havering-atte-Bower, Romford, Essex, RM4 1PP", Essex, RM4 1PP,Leasehold Ground Floor Studio Flat Parking Space Vacant,"£80,000 Plus",80000,Countrywide Property Auctions,25 March 2015,,
4,https://www.eigroup.co.uk/files/20/22986/44df5bd2-3014-4dda-97e6-f7e452fb4ae4.jpg,"Flat 70, Parade Mansions, Watford Way, Hendon, London, NW4 3AU", London, NW4 3AU,Leasehold Apartment Two Bedroom Assured Shorthold Tenancy,"£200,000 Plus",200000,Countrywide Property Auctions,25 March 2015,,
5,https://www.eigroup.co.uk/files/20/22986/f6df3209-629f-427f-8250-7c88932b6380.jpg,"6 The Spinney, Warren Road, Purley, Surrey, CR8 1AB", Surrey, CR8 1AB,Freehold Substantial Maisonette 5 Room(s) Garden Garage/s Parking Space,"£400,000 Plus",400000,Countrywide Property Auctions,25 March 2015,,
6,https://www.eigroup.co.uk/files/20/22986/6d353b52-66bb-4111-945f-495f7c238d1c.jpg,"Ashanti House, 7 Debdale Road, Wellingborough, Northamptonshire, NN8 5AA", Northamptonshire, NN8 5AA,Freehold Former Care Home Three Floor 4 Bedroom Garden,"£155,000 Plus",155000,Countrywide Property Auctions,25 March 2015,,The NHP Group
7,https://www.eigroup.co.uk/files/20/22986/466600de-9ac0-49de-9099-f53581e41fc0.jpg,"8 Grand Parade, Ewell Road, Surbiton, Surrey, KT6 7BE", Surrey, KT6 7BE,Freehold Building Three Floor Arranged As Ground Floor Shop Let & Residential Upper Part Maisonette Yards Assured Shorthold Tenancy,"£320,000 Plus",320000,Countrywide Property Auctions,25 March 2015,,
8,https://www.eigroup.co.uk/files/20/22986/a56404ba-095c-437d-82b7-a8c96ca3b5f5.jpg,"Folkestone Suite, The Grand, The Leas, Folkestone, Kent, CT20 2LR", Kent, CT20 2LR,Leasehold 5th Floor Apartment Two Room(s),"£89,000 Plus",89000,Countrywide Property Auctions,25 March 2015,,
9,https://www.eigroup.co.uk/files/20/22986/e128577c-8b50-4ba1-9f6d-f95b28f90806.jpg,"Flint Cottage, 1 Station Hill, Westmill, Buntingford, Hertfordshire, SG9 9NG", Hertfordshire, SG9 9NG,Freehold Detached House Three Floor 5 Room(s) Garden Garage/s,"£400,000 Plus",400000,Countrywide Property Auctions,25 March 2015,,
10,https://www.eigroup.co.uk/files/20/22986/5dfb8646-f8d9-40c9-99f5-c3af6e9ebc07.jpg,"47 Warwick Avenue, Bedford, Bedfordshire, MK40 2EG", Bedfordshire, MK40 2EG,Freehold Semi-Detached Building Arranged As HMO Vacant,"£265,000 Plus",265000,Countrywide Property Auctions,25 March 2015,,
